Thu Dec 16 00:45:19 2021    output.dat

         18333277 function calls (17923685 primitive calls) in 9.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3806    0.009    0.000    0.399    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:51(selectable_destinations)
     3806    0.001    0.000    0.001    0.000 D:\Python_3_10\lib\site-packages\numpy\core\multiarray.py:148(concatenate)
     3806    0.008    0.000    0.041    0.000 <__array_function__ internals>:2(concatenate)
     3806    0.006    0.000    0.006    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\FinishSelectingDestinationsAction.py:16(is_valid)
     3805    0.025    0.000    9.053    0.002 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:55(to_np_array)
     3802    0.004    0.000    0.006    0.000 D:\Python_3_10\lib\site-packages\numpy\core\numerictypes.py:284(issubclass_)
     3802    0.008    0.000    0.038    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
     3802    0.007    0.000    0.008    0.000 D:\Python_3_10\lib\site-packages\numpy\core\getlimits.py:382(__new__)
     3801    0.013    0.000    0.030    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
     3801    0.001    0.000    0.001    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:432(_repeat_dispatcher)
     3801    0.004    0.000    0.043    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:436(repeat)
     3801    0.005    0.000    0.052    0.000 <__array_function__ internals>:2(repeat)
     3801    0.004    0.000    0.057    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\Strategy.py:6(random)
     3801    0.011    0.000    0.011    0.000 {method 'repeat' of 'numpy.ndarray' objects}
     3512    0.003    0.000    0.003    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:35(<listcomp>)
     3512    0.005    0.000    0.010    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:34(__len__)
  3500/14    0.013    0.000    0.130    0.009 D:\Python_3_10\lib\copy.py:227(_deepcopy_dict)
     3314    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     3311    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     3305    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFC3C570920}
     3304    0.002    0.000    0.002    0.000 D:\Python_3_10\lib\copyreg.py:100(__newobj__)
     3304    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
     3248    0.002    0.000    0.002    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\InformationSet.py:7(<dictcomp>)
     3248    0.010    0.000    0.015    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\InformationSet.py:5(from_game)
     3248    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
     2621    0.002    0.000    0.002    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:10(__init__)
     2379    0.001    0.000    0.001    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Destination.py:28(<genexpr>)
     2348    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     2275    0.001    0.000    0.001    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:58(player_index)
     2260    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:69(player_index)
     1963    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
     1915    0.007    0.000    0.019    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:80(get_action_by_id)
     1915    0.003    0.000    0.004    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\Action.py:22(execute)
     1915    0.004    0.000    0.323    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameTree.py:23(next)
     1915    0.010    0.000    0.284    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:22(next)
     1902    0.004    0.000    4.514    0.002 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:18(__len__)
     1901    0.010    0.000    9.307    0.005 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:66(get_action_id)
     1901    0.005    0.000    0.011    0.000 D:\Python_3_10\lib\site-packages\numpy\core\numerictypes.py:358(issubdtype)
     1901    0.016    0.000    0.110    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\Strategy.py:10(normalize)
     1901    0.041    0.000    0.041    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\Strategy.py:21(<listcomp>)
     1901    0.003    0.000    0.025    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\StrategyStorage.py:22(get_node_strategy)
